
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
PNGstego_Airplane512x512_1_3_5.png,false,847,0.019341527651956014,0.004947899292546984,0.027351838533543074,0.020709961783631513,0.018087806815419397
PNGstego_Airplane512x512_1_4_3.png,false,1022,0.02767483294521462,0.004289219589373931,0.030702997795691873,0.024626355002044017,0.021823351333081113
PNGstego_Airplane512x512_1_4_5.png,false,758,0.01962380203169717,0.005566572468388192,0.02281688320337689,0.016658368904828934,0.0161664066520728
PNGstego_Airplane512x512_2_3_5.png,false,649,0.013602242632711254,0.005268803381839182,0.018626559124019275,0.017552895006520748,0.013762625036272614
PNGstego_Airplane512x512_2_4_3.png,false,887,0.022305297928262434,0.005963172764555868,0.029186292307529945,0.017786870259924432,0.018810408315068167
PNGstego_Airplane512x512_2_4_5.png,false,769,0.02444344615495609,0.004844496325103577,0.020265776555952568,0.01557285438136784,0.01628164335434502
PNGstego_Lake512x512_1_3_3.png,false,925,0.028764597720419227,7.638855485229973E-8,0.01063610558429471,0.023631995884064373,0.01575819389433329
PNGstego_Lake512x512_1_3_5.png,false,1353,0.0414291373575475,1.4044716107477855E-8,0.021995797747763935,0.028784923208359466,0.023052468089596753
PNGstego_Lake512x512_1_4_3.png,false,1213,0.0506973544509616,4.0934603812933814E-8,0.00445617947042322,0.027477240366816282,0.020657703805701227
PNGstego_Lake512x512_1_4_5.png,false,1139,0.04335046310396581,3.535711180014529E-8,0.015191405446556167,0.019025107194951884,0.019391752775646413
PNGstego_Lake512x512_2_3_3.png,false,1187,0.0225140398190282,1.9573334538856728E-8,0.03443322548816295,0.02388432536047825,0.020207902560250984
PNGstego_Lake512x512_2_3_5.png,false,1452,0.04234254954743899,3.2910961628716032E-6,0.031222568184468228,0.02523762678066499,0.02470150890218377
PNGstego_Lake512x512_2_4_3.png,false,1476,0.031110702024406703,2.861586812523125E-5,0.025046483966509717,0.04423503485745682,0.025105209179124618
PNGstego_Lake512x512_2_4_5.png,false,1325,0.03190535752446685,2.8831485018051133E-6,0.02798546725089433,0.030217739814528976,0.02252786193459799
PNGstego_Lena512x512_1_3_5.png,false,455,0.009356127194231505,0.0012712902296572004,0.015101141142705886,0.010288176261659749,0.009004183707063585
PNGstego_Lena512x512_1_4_3.png,false,403,0.00569258651576015,0.0012959082102021353,0.019192953274174043,0.00568607386519306,0.007966880466332347
PNGstego_Lena512x512_1_4_5.png,false,287,0.0019984039212406117,0.001275233580825551,0.012401422383394636,0.007016272749115477,0.005672833158644069
PNGstego_Lena512x512_2_3_5.png,false,1009,0.03642382637368655,0.0011026659650075533,0.028364165174530873,0.013555329480505262,0.019861496748432562
PNGstego_Lena512x512_2_4_3.png,false,489,0.014598137553229435,0.001267148121667158,0.016012015055459797,0.006616420648090482,0.009623430344611718
PNGstego_Lena512x512_2_4_5.png,false,512,0.019514833157501247,0.001121428608361215,0.011369452899324043,0.008264868423042087,0.01006764577205715
PNGstego_Mandrill512x512_1_3_3.png,false,5143,0.0681528257182188,0.0010299737073257785,0.12456173936136435,0.10866310152724876,0.07560191007853942
PNGstego_Mandrill512x512_1_3_5.png,false,5324,0.07103572585749303,0.0010787134846249682,0.12582728251480443,0.1150839012507016,0.07825640577690601
PNGstego_Mandrill512x512_1_4_3.png,false,3962,0.054084272101773814,0.0014487972454700383,0.09235652429300643,0.08507302315998974,0.058240654200060006
PNGstego_Mandrill512x512_1_4_5.png,false,5041,0.07583833833844415,0.001145205200360364,0.12304789242027935,0.09635091195950019,0.07409558697964602
PNGstego_Mandrill512x512_2_3_3.png,false,4155,0.06445393849216693,0.00163219499061266,0.10062064238876396,0.07755158015774465,0.06106458900732205
PNGstego_Mandrill512x512_2_3_5.png,false,4872,0.07760072699167238,0.0021459876468129676,0.1071018346625761,0.09951997893053774,0.0715921320578998
PNGstego_Mandrill512x512_2_4_3.png,false,4076,0.04640861574384361,0.0015826829511107685,0.08313281622468746,0.10845743982756245,0.059895388686801075
PNGstego_Mandrill512x512_2_4_5.png,false,3975,0.05345340194346163,0.002418716242150319,0.09076303274049292,0.08701004365647848,0.05841129864564584
PNGstego_Pepper512x512_1_3_3.png,false,2676,0.08423984966079796,0.002848748623808235,0.056323987856703873,0.058728861488004394,0.050535361907328616
PNGstego_Pepper512x512_1_3_5.png,false,3273,0.10481150280324632,0.0023551451343765237,0.07606833105093472,0.06395308583299471,0.061797016205388064
PNGstego_Pepper512x512_1_4_3.png,false,2655,0.08074851539500358,0.0029561460626855484,0.055923856633501655,0.06084126896724926,0.05011744676461001
PNGstego_Pepper512x512_1_4_5.png,false,2868,0.09314843075237886,0.003151062730121354,0.06543197231080695,0.054871052763348596,0.05415062963916395
PNGstego_Pepper512x512_2_3_3.png,false,3567,0.10346272413498622,0.0025509919097099942,0.08280102787163578,0.08044083358265916,0.06731389437474779
PNGstego_Pepper512x512_2_3_5.png,false,1514,0.024876059600931106,0.002141443890048623,0.027475511653800678,0.0597396458816276,0.028558165256602
PNGstego_Pepper512x512_2_4_3.png,false,2453,0.05871976101652899,0.0029166188608839255,0.05146414159191678,0.07192641856356795,0.046256735008224414
PNGstego_Pepper512x512_2_4_5.png,false,2743,0.08302619519645114,0.002893961230477076,0.05744848977791319,0.06356548294153933,0.051733532286595184
PNGstego_Tiffany512x512_1_3_3.png,false,1440,0.038408060519824226,0.005328499598996322,0.03575417141141721,0.03784944933115873,0.029335045215349125
