
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
PNGstego_Airplane_3.png,false,892,0.021391497884378028,0.004849011237454806,0.027497538795490575,0.02152371524904377,0.018815440791591795
PNGstego_Airplane_4.png,false,359,0.008364079131319249,0.007076371327763938,0.004537246412905874,0.01056748954972081,0.007636296605427468
PNGstego_Lake_3.png,false,1441,0.04606316013503775,2.111877178697118E-8,0.027064539230643652,0.024813049460571703,0.024485192486256226
PNGstego_Lake_4.png,false,1089,0.029118616789230473,3.649881290581326E-9,0.0389206559550072,0.006143126672929277,0.01854560076676206
PNGstego_Lena_3.png,false,341,0.013830428073492882,0.0013210533309270967,0.004654516272961218,0.006896218918681157,0.006675554149015589
PNGstego_Lena_4.png,false,446,0.011077669379015897,0.001304865664011814,0.01281185944807311,0.009909658303119254,0.008776013198555019
PNGstego_Mandrill_3.png,false,4735,0.040154072442860365,0.001322719043817225,0.11281510577702153,0.12397815393470843,0.06956751279960188
PNGstego_Mandrill_4.png,false,4415,0.04953203875045848,0.0013707169215680342,0.09711671926958514,0.11154466334191573,0.06489103457088186
PNGstego_Pepper_3.png,false,3722,0.10979360027776393,0.0026417339506061826,0.09175416192988188,0.07619946406267386,0.07009724005523146
PNGstego_Pepper_4.png,false,3361,0.09014689465540937,0.0029160619045050925,0.07812597457063199,0.08236146162768787,0.06338759818955858
PNGstego_Tiffany_3.png,false,1714,0.045175239292630245,0.005072504451732254,0.04175423961399898,0.04661868814391036,0.03465516787556796
PNGstego_Tiffany_4.png,false,1780,0.04228824619408019,0.006071736481182333,0.046957906012536736,0.04928409338173753,0.036150495517384196
stego_Airplane3.jpg,false,95,0.009660710026443819,0.004952017406708299,0.012181222789371312,0.006576112628060895,0.008342515712646081
stego_Airplane4.jpg,false,102,0.009894426439630568,0.004682885478534645,0.010503120233626588,0.010819851665516394,0.00897507095432705
stego_Lake3.jpg,false,130,0.020678909038846956,3.353126181320296E-6,0.011825607787933875,0.002194119935641455,0.0086754974721509
stego_Lake4.jpg,false,69,0.0031165177183507197,1.805525688295249E-7,0.012521710854419577,0.002854850954682391,0.0046233150200053795
stego_Lena3.jpg,false,76,0.01610224353707609,8.534607122873642E-5,0.010616461856194985,0.0011610695687272823,0.006991280258306773
stego_Lena4.jpg,false,30,0.00926673405059729,9.992928165173415E-5,0.0011724947030885907,5.951176073063667E-4,0.0027835689106609956
stego_Mandrill3.jpg,false,430,0.011620530599235762,0.0014942348863580506,0.013015346621410054,0.0485771773406668,0.018676822361917665
stego_Mandrill4.jpg,false,1144,0.025282211318967702,0.0021909244221740938,0.08090684806643585,0.09070848030881519,0.04977211602909821
stego_Pepper3.jpg,false,249,0.02067030741214055,0.0034964157753515756,0.03259277880469146,0.030298455885880843,0.021764489469516108
stego_Pepper4.jpg,false,195,0.012871913035337287,0.002297841683441053,0.018431085255535058,0.03474783348911506,0.017087168365857115
stego_Tiffany3.jpg,false,175,0.019191933610908818,0.005731350370338234,0.01980306141179342,0.021695693907453142,0.016605509825123405
stego_Tiffany4.jpg,false,158,0.01504466787145318,0.007438584858908107,0.016720199901708695,0.020787605826660546,0.014997764614682633
